kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,480,1,61705031,石坑,0,1786201200000,5,6,52.68
1,0,0,陆水,480,1,61705031,石坑,0,1786204800000,5,4,52.67
1,0,0,陆水,480,1,61705031,石坑,0,1786208400000,5,6,52.67
1,0,0,陆水,480,1,61705031,石坑,0,1786212000000,5,4,52.66
1,0,0,陆水,480,1,61705031,石坑,0,1786215600000,5,6,52.66
1,0,0,陆水,480,1,61705031,石坑,0,1786219200000,5,6,52.66
1,0,0,陆水,480,1,61705031,石坑,0,1786222800000,5,6,52.66
1,0,0,陆水,480,1,61705031,石坑,0,1786226400000,5,4,52.65
1,0,0,陆水,480,1,61705031,石坑,0,1786230000000,5,6,52.65
1,0,0,陆水,480,1,61705031,石坑,0,1786240800000,5,6,52.63
1,0,0,陆水,480,1,61705031,石坑,0,1786244400000,5,4,52.62
