kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786201200000,5,4,29.07
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786204800000,5,6,29.07
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786208400000,5,4,29.06
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786212000000,5,4,29.05
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786215600000,5,4,29.03
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786219200000,5,5,29.05
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786222800000,5,4,29.03
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786226400000,5,6,29.03
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786230000000,5,6,29.03
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786240800000,5,4,29
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786244400000,5,6,29
1,0,0,草尾河,290,1,61508001,黄茅洲,0,1786251600000,5,4,28.98
